first_author,institution,full_affiliation
 Hasan Al-Dorzi,King Saud Bin Abdulaziz University for Health Sciences,"King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia"
 Carrie Sona,Barnes Jewish Hospital,"Barnes Jewish Hospital, Saint Louis, MO"
 Hanish Sampath Kumar,Mercy Hospital St Louis,"Mercy Hospital St Louis, Saint Louis, MO"
 Benjamin Scott,University of Colorado,"University of Colorado, Aurora, CO"
 Christine Swartzman,Oviedo,"Oviedo, FL"
 Pamir Mateen,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Petra Grami,University of Texas MD Anderson,"University of Texas MD Anderson, Houston, TX"
 Venu Pasricha,Penn Presbyterian Medical Center,"Penn Presbyterian Medical Center, University of Pennsylvania, Philadelphia, PA"
 Maria Alfaro-Maguyon,University of Florida,"University of Florida, Gainesville, FL"
 Hiraku Funakoshi,Urayasu,"Urayasu, Chiba"
 Annum Faisal,University of North Texas Health Science Center,"University of North Texas Health Science Center, Fort Worth, TX"
 Aneeq Muhammad Yousuf,Aga Khan University,"Aga Khan University, Karachi, Pakistan"
 Sanwal Mehta,Brooklyn,"Brooklyn, NY"
 Robert Geis,Naval Medical Center Portsmouth,"Naval Medical Center Portsmouth, Portsmouth, VA"
 Elise Kumar,RWJ Barnabas Health,"RWJ Barnabas Health, Livingston, NJ"
 Alice Chan,Walnut,"Walnut, CA"
 Sudarshan Srinivasan,University of Tennessee,"University of Tennessee, Knoxville, TN"
 Pamela Jones,PA,PA
 Mikka Soukup,The University of Kansas Health System,"The University of Kansas Health System, Kansas City, KS"
 Alison Novak,University of Colorado Anschutz Medical Campus,"University of Colorado Anschutz Medical Campus, Aurora, CO"
 Sarah Peacock,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Sarah Peacock,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Wen Gao,The Second Affiliated Hospital of Zhejiang University School of Medicine,"The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang"
 Daniela Gund,Hospital Universitario do Oeste do Parana,"Hospital Universitario do Oeste do Parana, Cascavel, Brazil"
 Alexandria Rydz,The Wexner Medical Center at The Ohio State University,"The Wexner Medical Center at The Ohio State University, Columbus, OH"
 Yu Wu,Gainesville,"Gainesville, FL"
 Jennifer Johnson,Yale New Haven Health,"Yale New Haven Health, New Haven, CT"
 Mekedim Bekele,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Amelia Barwise,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Lourdes Rojas,Baptist Health South Florida,"Baptist Health South Florida, Coral Gables, FL"
 Joan Kinniry,University of Pennsylvania Medical Center,"University of Pennsylvania Medical Center, Philadelphia, PA"
 Caitlin McHugh,University of Pittsburgh Medical Center,"University of Pittsburgh Medical Center, Pittsburgh, PA"
 Kathleen Rottman-Pietrzak,Ascension St. Vincent’s,"Ascension St. Vincent’s, Jacksonville, FL"
 Andrew Conner,Wyoming Medical Center,"Wyoming Medical Center, Casper, Wyoming"
 Jalal Soleimani,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Yaseen Arabi,King Saud Bin Abdulaziz University for Health Sciences,"King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia"
 Alyssa Chen,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Alyssa Chen,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 BrookeAnne Magrum,The Wexner Medical Center at The Ohio State University,"The Wexner Medical Center at The Ohio State University, Columbus, OH"
 Rachel Boardman,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, Tennessee"
 Christine Aiello,Hospital of the University of Pennsylvania,"Hospital of the University of Pennsylvania, Philadelphia, PA"
 Garret Evans,Atrium Health,"Atrium Health, Concord, NC"
 Hasan Al-Dorzi,King Saud Bin Abdulaziz University for Health Sciences,"King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia"
 Katie McGuire,UPMC Hamot,"UPMC Hamot, Erie, PA"
 Sebastian Ramagnano,Hospital of The University of Pennsylvania,"Hospital of The University of Pennsylvania, Philadelphia, PA"
 Hailey Hutcheson,Geisinger,"Geisinger, Danville, PA"
 Alexys Monoson,Thomas Jefferson University Hospital,"Thomas Jefferson University Hospital, Philadelphia, PA"
 Krunal Raval,Mercy Hospital St. Louis,"Mercy Hospital St. Louis, Saint Louis, MO"
 Tobias Kulik,University of New Mexico,"University of New Mexico, Albuquerque, NM"
 Todd Walroth,Wishard Health Service,"Wishard Health Service, Indianapolis, IN"
 Megan McCabe,The Children’s Hospital at Montefiore,"The Children’s Hospital at Montefiore, Bronx, NY"
 Kwame Akuamoah-Boateng,Virginia Commonwealth University,"Virginia Commonwealth University, Barboursville, VA"
 Veerajalandhar Allareddy,Duke University Medical Center,"Duke University Medical Center, Durham, NC"
 Peter Miller,Wake Forest School of Medicine,"Wake Forest School of Medicine, Winston-Salem, NC"
 Anita Reddy,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Balagangadhar Totapally,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Emily Highsmith,Houston,"Houston, Texas"
 Sahaja Atluri,University of Missouri-Kansas City School of Medicine,"University of Missouri-Kansas City School of Medicine, Kansas City, MO"
 Timothy Jones,UGA College of Pharmacy,"UGA College of Pharmacy, Augusta, GA"
 Yenny Cardenas,Fundacion Santa Fe De Bogota,"Fundacion Santa Fe De Bogota, Bogota, Colombia"
 Megan Kupferschmid,OSF St Francis Medical Center,"OSF St Francis Medical Center, Peoria, IL"
 Aric Johnson,University of Kentucky,"University of Kentucky, Lexington, KY"
 Herbert Patrick,Jefferson Health - Northeast,"Jefferson Health - Northeast, Philadelphia, PA"
 Rachel Anderson,Huntsville Hospital,"Huntsville Hospital, Huntsville, AL"
 Amanda Faulkner,Lexington,"Lexington, KY"
 David Dado,San Antonio Military Medical Center,"San Antonio Military Medical Center, San Antonio, TX"
 Tarang Patel,University of Missouri-Columbia Hospitals and Clinics,"University of Missouri-Columbia Hospitals and Clinics, Columbia, MO"
 Hongchuan Coville,University of Central Florida,"University of Central Florida, Gainesville, FL"
 Jun Jiang,Department of Critical Care Medicine of Zhongnan Hospital of Wuhan University,"Department of Critical Care Medicine of Zhongnan Hospital of Wuhan University, Wuhan, China"
 Benjamin Moss,Baylor College of Medicine,"Baylor College of Medicine, Houston, TX"
 Guanqing Sun,Department of Anesthesiology,"Department of Anesthesiology, University of Nebraska Medical Center, Omaha, NE"
 Alfred Schwab,Mount Sinai Hospital,"Mount Sinai Hospital, New York, NY"
 Brittany Bissell,University of Kentucky,"University of Kentucky, Lexington, KY"
 Kirill Lipatov,Mayo Clinic College of Medicine,"Mayo Clinic College of Medicine, Rochester, MN"
 Nicholas Quinn,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Jordan Kelley,University of Kentucky Healthcare - Good Samaritan,"University of Kentucky Healthcare - Good Samaritan, Lexington, KY"
 Lama Nazer,King Hussein Cancer Center,"King Hussein Cancer Center, Amman, Jordan"
 Saranya Rajasekar,Texas Tech University Health Sciences Center,"Texas Tech University Health Sciences Center, Odessa, TX"
 Omar Mahmoud,Icahn School of Medicine at Mount Sinai – Mount Sinai St. Luke’s and Mount Sinai West Hospital,"Icahn School of Medicine at Mount Sinai – Mount Sinai St. Luke’s and Mount Sinai West Hospital, New York, NY"
 Alexandria Hall,Atlanta,"Atlanta, GA"
 Dongxue Xu,Department of Critical Care Medicine of Zhongnan Hospital of Wuhan University,"Department of Critical Care Medicine of Zhongnan Hospital of Wuhan University, Wuhan City, Hubei Province, Asia"
 Rami Maarouf,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Gabriela Galli,University of Pittsburgh School of Medicine,"University of Pittsburgh School of Medicine, Pittsburgh, PA"
 Yiming Li,Wuhan,"Wuhan, AA"
 Arnaldo Lopez Ruiz,Advent Health Waterman,"Advent Health Waterman, Tavares, FL"
 Moe Oguchi,Tokyo Women’s Medical University Yachiyo Medical Center,"Tokyo Women’s Medical University Yachiyo Medical Center, Yachiyo, Japan"
 John Cuenca,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Feihu Zhou,Department of Critical Care Medicine,"Department of Critical Care Medicine, PLA General Hospital, Beijing, China"
 Ivor Douglas,Denver Health,"Denver Health, Denver, CO"
 Gaspar Del Rio-Pertuz,Center for Critical Care Nephrology,"Center for Critical Care Nephrology, The CRISMA Center-University of Pittsburgh, Pittsburgh, PA"
 Daniel Leisman,Icahn School of Medicine at Mount Sinai,"Icahn School of Medicine at Mount Sinai, New York, NY"
 Mehboob Rehan,Eastern Idaho Regional Medical Center,"Eastern Idaho Regional Medical Center, Idaho Falls, ID"
 David Hill,University of Tennessee Health Science Center,"University of Tennessee Health Science Center, Memphis, TN"
 Carlos Manrique-Caballero,Center for Critical Care Nephrology - University of Pittsburgh,"Center for Critical Care Nephrology - University of Pittsburgh, Pittsburgh, PA"
 Amaresh Ranjan,Midwestern University,"Midwestern University, Downers Grove, IL"
 Keisuke Suzuki,Showa University,"Showa University, Tokyo, Japan"
 Merrick Lopez,Loma Linda University,"Loma Linda University, Loma Linda, CA"
 Robin Craig,Buffalo,"Buffalo, NY"
 Jeffrey Cies,St. Christopher’S Hospital For Children,"St. Christopher’S Hospital For Children, Philadelphia, PA"
 Kitman Wai,Children’s National Medical Center,"Children’s National Medical Center, Washington, DC"
 Stephen Gorga,CS Mott Children’s Hospital,"CS Mott Children’s Hospital, University of Michigan, Ann Arbor, MI"
 Sameer Thadani,Baylor College of Medicine Texas Children’s Hospital,"Baylor College of Medicine Texas Children’s Hospital, Houston, TX"
 Morgan Doughty,University of Texas Health Science Center at Houston,"University of Texas Health Science Center at Houston, Houston, Texas"
 Sunil Keshwah,University of Chicago,"University of Chicago, Chicago, IL"
 Jhoclay See,Cleveland,"Cleveland, OH"
 Friederike Strelow,Philadelphia,"Philadelphia, PA"
 Matthew Barhight,Ann and Robert H. Lurie Children’s Hospital,"Ann and Robert H. Lurie Children’s Hospital, Chicago, IL"
 Natalja Stanski,Cincinnati,"Cincinnati, OH"
 Natalja Stanski,Cincinnati,"Cincinnati, OH"
 Blythe Pollack,University of Michigan Hospital and Health Systems,"University of Michigan Hospital and Health Systems, South Lyon, MI"
 Austin Biggs,Columbus,"Columbus, OH"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi, Pakistan"
 Pradip Ramamurti,George Washington University,"George Washington University, Washington, DC"
 W. Anthony Hawkins,UGA College of Pharmacy,"UGA College of Pharmacy, Albany, GA"
 Matthew Carter,Phoenix Children’s Hospital,"Phoenix Children’s Hospital, Phoenix, AZ"
 Enyo Ablordeppey,Washington University School of Medicine,"Washington University School of Medicine, Saint Louis, MO"
 Douglas Campbell,University of Colorado School of Medicine,"University of Colorado School of Medicine, Aurora, CO"
 Christopher Dimza,N/A,N/A
 David Crabb,University of Florida,"University of Florida, Gainesville, FL"
 Alison Raffman,University of Maryland School of Medicine,"University of Maryland School of Medicine, Baltimore, MD"
 Steven Trottier,Mercy Hospital St. Louis,"Mercy Hospital St. Louis, Saint Louis, MO"
 Genia Taitano,University of Hawaii John A Burns School of Medicine,"University of Hawaii John A Burns School of Medicine, Honolulu, HI"
 Kiyohiro Oshima,Department of Emergency Medicine,"Department of Emergency Medicine, Gunma University Graduate School of Medicine, Maebashi, Japan"
 li dongjie,Tongji University,"Tongji University, Shanghai, China"
 Mohammed Alshahrani,King Fahad Hospital of the University,"King Fahad Hospital of the University, Alkhobar, Saudi Arabia"
 Anja Levis,University of Bern,"University of Bern, Inselspital, Bern, Switzerland"
 Kunihiko Maekawa,Hokkaido University Hospital,"Hokkaido University Hospital, Sapporo, Japan"
 Scott Benken,University of Illinois Health Sciences and Medical Center,"University of Illinois Health Sciences and Medical Center, Chicago, IL"
 Xiaofeng Jia,University of Maryland School of Medicine,"University of Maryland School of Medicine, Baltimore, MD"
 Yasmeen Elmelige,University of Florida College of Medicine,"University of Florida College of Medicine, Gainesville, FL"
 David Seder,Maine Medical Center,"Maine Medical Center, Portland, ME"
 Jamie Podell,Baltimore,"Baltimore, MD"
 Mina Phlamon,CHI St. Luke’s The Woodlands Hospital,"CHI St. Luke’s The Woodlands Hospital, The Woodlands, TX"
 Ariane Loutoo,Yale New Haven Health,"Yale New Haven Health, Bridgeport Hospital, Bridgeport, CT"
 Gurshawn Tuteja,Medical College of Georgia,"Medical College of Georgia, Augusta, GA"
 Lyn Ackert-Smith,Maine Medical Center,"Maine Medical Center, Portland, ME"
 Kevin Schwalbach,University of Alabama Medical Center,"University of Alabama Medical Center, Birmingham, AL"
 Suntornwit Praditau-krit,Faculty of Medicine,"Faculty of Medicine, Prince of Songkla University, Hat Yai, Songkhla, Thailand"
 John Greenwood,University of Pennsylvania,"University of Pennsylvania, Philadelphia, PA"
 Colin McCloskey,University Hospitals Cleveland Medical Center,"University Hospitals Cleveland Medical Center, Cleveland, OH"
 Nibras Bughrara,Albany Medical College,"Albany Medical College, Albany, NY"
 Joseph Doherty,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Drayton Hammond,Rush University Medical Center,"Rush University Medical Center, Chicago, IL"
 Yousif Sandokji,University of Hawaii John A Burns School of Medicine,"University of Hawaii John A Burns School of Medicine, Honolulu, HI"
 Jason Brown,University of Hawaii John A Burns School of Medicine,"University of Hawaii John A Burns School of Medicine, Honolulu, HI"
 Luke Matzek,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Hiroki Sato,Hakodate,"Hakodate, Japan"
 Garrett Britton,U.S. Army Institute of Surgical Research,"U.S. Army Institute of Surgical Research, Fort Sam Houston, TX"
 Alexander Lewis,Albuquerque,"Albuquerque, NM"
 Noriyuki Okamoto,Sapporo Medical University,"Sapporo Medical University, Sapporo, Japan"
 Chad Epley,Beaumont Health,"Beaumont Health, Royal Oak, MI"
 Anika Sasidharan Nair,Jacobi Medical Center,"Jacobi Medical Center, Bronx, NY"
 Natalie Sullivan,N/A,N/A
 Ryuichiro Kakizaki,Sapporo Medical University,"Sapporo Medical University, Sapporo, Japan"
 CHAMI IM,Seoul National University Bundang Hospital,"Seoul National University Bundang Hospital, Seongnam-si, South Korea"
 Katherine Januszewicz,George Washington University Hospital,"George Washington University Hospital, Washington, DC"
 Paul Pepe,Univ. of Texas Southwestern Med. Ctr.,"Univ. of Texas Southwestern Med. Ctr., Dallas, TX"
 Srikant Patlolla,Baylor University Medical Center,"Baylor University Medical Center, Dallas, TX"
 Kim Sung Ho,Department of Critical Care Medicine,"Department of Critical Care Medicine, Osaka Habikino Medical Center, Osaka, Japan"
 Daniel Goldberg,The Brooklyn Hospital Center,"The Brooklyn Hospital Center, Jersey City, NJ"
 Robert Murray,Children’s Hospital at Dartmouth,"Children’s Hospital at Dartmouth, Lebanon, NH"
 Michelle Henninger,Lee Health,"Lee Health, Fort Myers, FL"
 Patrick Wieruszewski,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Mioko Kobayashi,Tertiary Emergency Medical Center,"Tertiary Emergency Medical Center, Tokyo Metropolitan Bokutoh Hospital, Tokyo, Japan"
 Benjamin Moran,R. Adams Cowley Shock Trauma Center,"R. Adams Cowley Shock Trauma Center, Baltimore, MD"
 Wasif Shamsi,Western Michigan University Homer Stryker M.D School of Medicine,"Western Michigan University Homer Stryker M.D School of Medicine, Kalamazoo, MI"
 Nibras Bughrara,Albany Medical Center,"Albany Medical Center, Albany, NY"
 Karen Yang,Bronx,"Bronx, NY"
 Keith Killu,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Peter Nguyen,Memorial Hermann Hospital,"Memorial Hermann Hospital, Houston, TX"
 Akihiko Inoue,Kobe,Kobe
 Taegyun Kim,Seoul National University Hospital,"Seoul National University Hospital, Seoul"
 Cristina Mamolea,Dartmouth Hitchcock Medical Center,"Dartmouth Hitchcock Medical Center, Lebanon, NH"
 Payal Ram,Elmhurst Hospital Center,"Elmhurst Hospital Center, Icahn School of Medicine at Mount Sinai, Elmhurst, NY"
 Naofumi Bunya,Sapporo,"Sapporo, Japan"
 Kenshiro Wada,Sapporo,Sapporo
 Zehra Dhanani,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington, DC"
 Sara Wong,N/A,N/A
 Yoichi Katayama,Sapporo Medical University,"Sapporo Medical University, Sapporo City Hokkaido"
 Brianna Cocuzzo,Nova Southeastern University College of Allopathic Medicine,"Nova Southeastern University College of Allopathic Medicine, Davie, FL"
 Somnath Bose,Beth Israel Deaconess Medical Center,"Beth Israel Deaconess Medical Center, Boston, MA"
 Mohamed Serhan Hamam,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Zhuang Yugang,N/A,N/A
 Jing Fan,Department of Critical Care Medicine,"Department of Critical Care Medicine, The First Affiliated Hospital of Chongqing Medical University, Chongqing, China"
 Yosef Levenbrown,Baltimore,"Baltimore, MD"
 Riko Maejima,Tokyo,"Tokyo, YT"
 Akiko Tomita,Sapporo-shi,"Sapporo-shi, Japan"
 Zehra Dhanani,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington, DC"
 Song Oh,Philadelphia College of Pharmacy,"Philadelphia College of Pharmacy, Philadelphia, PA"
 Takuro Hamaguchi,Nippon Medical School Hospital,"Nippon Medical School Hospital, Tokyo, Japan"
 Emily Scicchitano,Penn State Health Hershey Medical Center,"Penn State Health Hershey Medical Center, Hershey, PA"
 Amanda OHalloran,Boston Children’s Hospital,"Boston Children’s Hospital, Boston, MA"
 Lydia Sumbel,The Children’s Hospital of San Antonio,"The Children’s Hospital of San Antonio, San Antonio, TX"
 Taira Takuya,Hyogo Kobe,"Hyogo Kobe, AA"
 Diana Geisser,Boston Children’s Hospital,"Boston Children’s Hospital, Boston, MA"
 Ryan Morgan,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Stephanie Brown,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Katherine Raffensperger,University of Miami,"University of Miami, Miami, FL"
 Conall Francoeur,Centre mère-enfant Soleil du Centre Hospitalier Universitaire de Québec - Université Laval,"Centre mère-enfant Soleil du Centre Hospitalier Universitaire de Québec - Université Laval, Quebec, Canada"
 Manju Korattiyil,Children’s National Health System,"Children’s National Health System, Washington, DC"
 Lauren White,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Maya Dewan,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Kasper Lauridsen,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Nathan Patterson,Spectrum Health,"Spectrum Health, Grand Rapids, MI"
 Corinne Buysse,Sophia Children’s Hospital,"Sophia Children’s Hospital, GD Rotterdam, Netherlands"
 Matthew Zackoff,University of Cincinnati School of Medicine,"University of Cincinnati School of Medicine, Department of Pediatrics, Cincinnati, OH"
 Brandon Henry,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Christine Koshel,John R. Oishei Children’s Hospital,"John R. Oishei Children’s Hospital, University at Buffalo, Buffalo, NY"
 Loretta Cinquepalmi,SUNY Downstate Medical Center,"SUNY Downstate Medical Center, Brooklyn, NY"
 Awni Al-Subu,Madison,"Madison, WI"
 Corinne Buysse,Sohpia Children’s Hospital,"Sohpia Children’s Hospital, GD Rotterdam, Netherlands"
 Dieter Bender,Villanova University,"Villanova University, Villanova, PA"
 Kundan Mittal,Pt B D Sharma,"Pt B D Sharma, PGIMS, Rohtak, Haryana"
 Ryan Morgan,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Cailyn Rood,Clinical Fellow in Critical Care Medicine,"Clinical Fellow in Critical Care Medicine, Boston, MA"
 Charleston West,University of The Incarnate Word School of Osteopathic Medicine,"University of The Incarnate Word School of Osteopathic Medicine, San Antonio, TX"
 Wanchun Tang,Virginia Commonwealth University,"Virginia Commonwealth University, Glen Allen, VA"
 Wanchun Tang,Virginia Commonwealth University,"Virginia Commonwealth University, Glen Allen, VA"
 Jennifer Bradley,Weil Institute of Emergency and Critical Care Research at VCU,"Weil Institute of Emergency and Critical Care Research at VCU, Richmond, VA"
 Taegyun Kim,Seoul National University Hospital,"Seoul National University Hospital, Seoul"
 Kristin Crosby,New York Presbyterian Hospital- Weill Cornell Medical Center,"New York Presbyterian Hospital- Weill Cornell Medical Center, New York, NY"
 Adam Dziorny,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Claire Hanson,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Anireddy Reddy,Children’s National Medical Center,"Children’s National Medical Center, Washington, DC"
 Erin Carlton,CS Mott Childrens Hospital at University of Michigan,"CS Mott Childrens Hospital at University of Michigan, Ann Arbor, MI"
 Beryl Valentine,Rosalind Franklin University of Medicine and Science,"Rosalind Franklin University of Medicine and Science, Chicago, IL"
 Aditya Badheka,University of Iowa Stead Family Children’s Hospital,"University of Iowa Stead Family Children’s Hospital, Iowa City, IA"
 Matthew Niedner,University of Michigan,"University of Michigan, Ann Arbor, MI"
 Shannon Riley,University of Tennessee Health Science Center,"University of Tennessee Health Science Center, Memphis, TN"
 Halden Scott,Children’s Hospital Colorado,"Children’s Hospital Colorado, Aurora, CO"
 Mihir Atreya,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Andrew Lautz,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Chong Shu-Ling,KK Women’s and Children’s Hospital,"KK Women’s and Children’s Hospital, Singapore, Singapore"
 Sara Arnoldi,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Halden Scott,Children’s Hospital Colorado,"Children’s Hospital Colorado, Aurora, CO"
 Valentina Di Caro,University of Pittsburgh,"University of Pittsburgh, Pittsburgh, PA"
 Mohamed Farhat,CS Mott Children’s Hospital at University of Michigan,"CS Mott Children’s Hospital at University of Michigan, Ann Arbor, MI"
 Ivana Capin,Staten Island University Hospital,"Staten Island University Hospital, Staten Island, NY"
 Daniel Loeb,UPMC Children’s Hospital,"UPMC Children’s Hospital, Pittsburgh, PA"
 James Odum,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Kate Madden,Boston,"Boston, MA"
 Heewon Yang,Ajou University School of Medicine,"Ajou University School of Medicine, Suwon, South Korea"
 Sameer Kadri,National Institutes of Health Clinical Center,"National Institutes of Health Clinical Center, Bethesda, MD"
 Brian Chinai,Cooper University Hospital,"Cooper University Hospital, Camden, NJ"
 Camila Quinde Villacrs,Universidad Catolica Santiago de Guayaquil,"Universidad Catolica Santiago de Guayaquil, Guayaquil, Ecuador"
 Nirmala Manjappachar,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Christa Schorr,Cooper Hospital University Medical Center,"Cooper Hospital University Medical Center, Camden, NJ"
 John Cuenca,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Sanjay Parashar,University of Kansas Medical Center,"University of Kansas Medical Center, Div of Pulmonary, Critical Care, and Sleep Medicine, Kansas City, KS"
 Kali Staman,Cooper Medical School of Rowan University,"Cooper Medical School of Rowan University, Camden, NJ"
 Muhammad Khyzar Hayat Syed,University of Minnesota,"University of Minnesota, Minneapolis MN"
 Marina Rabinovich,Grady Health System,"Grady Health System, Atlanta, GA"
 Sua Kim,Korea University Ansan Hospital,"Korea University Ansan Hospital, Ansan, Kyeonggi-do, South Korea"
 Jung Taek Park,Saint Mary’s Hospital,"Saint Mary’s Hospital, Uijeongbu, South Korea"
 Kirubel Hailu,Ascension St. Vincent’s Riverside,"Ascension St. Vincent’s Riverside, Jacksonville, FL"
 Prasanna Sengodan,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Anastasia Snelling,Carolinas Medical Center,"Carolinas Medical Center, Charlotte, NC"
 Rebecca Attridge,University of the Incarnate Word Feik School of Pharmacy,"University of the Incarnate Word Feik School of Pharmacy, San Antonio, TX"
 Susan Smith,University of Georgia College of Pharmacy,"University of Georgia College of Pharmacy, Athens, GA"
 Kevin Betthauser,Saint Louis,"Saint Louis, MO"
 Jason Yerke,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 John Radosevich,St. Joseph’s Hospital and Medical Center,"St. Joseph’s Hospital and Medical Center, Phoenix, AZ"
 Nicole Palm,Cleveland,"Cleveland, OH"
 Molly Hunt,University of Tennessee Medical Center,"University of Tennessee Medical Center, Knoxville, TN"
 Nicole Palm,Cleveland,"Cleveland, OH"
 Jamie Micheletto,Northwestern Memorial Hospital,"Northwestern Memorial Hospital, Chicago, IL"
 Alyson Basting,Indiana University Health Arnett,"Indiana University Health Arnett, Lafayette, IN"
 Ruth Campbell,Mercy Medical Center,"Mercy Medical Center, Des Moines, IA"
 Xiaonan Li,The First Affiliated Hospital of Dalian Medical University,"The First Affiliated Hospital of Dalian Medical University, Dalian, CA"
 Holly Reed,Watertown,"Watertown, MA"
 Monika Makowiecki,Loyola University Medical Center,"Loyola University Medical Center, Maywood, IL"
 Andreea Popa,University Hospitals Cleveland Medical Center,"University Hospitals Cleveland Medical Center, Cleveland, OH"
 Yaseen Arabi,King Saud Bin Abdulaziz University for Health Sciences,"King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia"
 Lauren Black,University of Florida College of Medicine - Jacksonville,"University of Florida College of Medicine - Jacksonville, Jacksonville, FL"
 Ryan Cook,Methodist Healthcare Memphis Hospitals,"Methodist Healthcare Memphis Hospitals, Jacksonville, FL"
 Camille Apple,Gainesville,"Gainesville, FL"
 Hideki Yoshida,St. Marianna University School of Medicine Hospital,"St. Marianna University School of Medicine Hospital, Kawasaki, Japan"
 Matthew Korobey,Saint Charles,"Saint Charles, MO"
 Kristin Griebe,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 James Blum,Emory University Hospital,"Emory University Hospital, Atlanta, GA"
 Nivedita Prasanna,The George Washington University Hospital,"The George Washington University Hospital, Department of Critical Care Medicine, Washington, DC"
 Xing Song,University of Kansas Medical Center,"University of Kansas Medical Center, Kansas City, KS"
 Sophia Bonnin,St. Joseph’s Hospital and Medical Center,"St. Joseph’s Hospital and Medical Center, Phoenix, AZ"
 Morgan Barnes,Holmes Regional Medical Center,"Holmes Regional Medical Center, Melbourne, FL"
 Lauren Black,University of Florida College of Medicine - Jacksonville,"University of Florida College of Medicine - Jacksonville, Jacksonville, FL"
 Matthew Jackson,University of Maryland Department of Emergency Medicine,"University of Maryland Department of Emergency Medicine, Baltimore, MD"
 Calvin Tucker,UF Health Shands Children’s Hospital,"UF Health Shands Children’s Hospital, Jacksonville, FL"
 Greg Martin,Emory University,"Emory University, Atlanta, GA"
 Ashley Lock,University Health System,"University Health System, San Antonio, TX"
 Judah Brown,UPMC Pinnacle,"UPMC Pinnacle, Harrisburg, PA"
 Jennifer Tang,USC Keck Internal Medicine,"USC Keck Internal Medicine, Los Angeles, CA"
 Manuela Haiduc,The Mount Sinai Hospital,"The Mount Sinai Hospital, New York, NY"
 Irene Capistrano,Jacksonville,"Jacksonville, FL"
 Simon Lam,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Saranya Rajasekar,Odessa,"Odessa, TX"
